,f0,fm,gamma,fold,ID
0,2.7111760857700635,0.6171474899835319,-0.27975126573749204,train,0
1,2.714149962597262,0.6114624854273681,-0.266317228352778,train,1
2,2.718446253410617,0.6037876529558586,-0.23673744669737537,train,2
3,2.7107450449405777,0.6119118408299331,-0.2019282198547016,train,3
4,2.714020724831543,0.6060356690844069,-0.17089906087597984,train,4
5,2.710314416687307,0.6076648902240956,-0.13011466571119376,train,5
6,2.7138445835701606,0.6040919165968837,-0.09560632457183574,train,6
7,2.7151098926096626,0.6086165434352537,-0.0738964539103936,train,7
8,2.71833352571013,0.6158128163841325,-0.058461871096994085,test,8
9,2.71699849978654,0.6156293040460749,-0.001134243118131698,train,9
10,2.7132852651144255,0.6031262690767589,0.019719476767404147,train,10
11,2.709665238970331,0.6096752954149044,0.05592907154597853,test,11
12,2.711178503385594,0.6201601699740011,0.0695274197875544,train,12
13,2.71176641517499,0.6173875645283047,0.09159302119633632,train,13
14,2.7103503884063707,0.6058560530845689,0.13764089068634638,test,14
15,2.7173387687685415,0.6027753045999509,0.18046244906885728,train,15
16,2.710877333415297,0.6106796328098626,0.20034069485567307,train,16
17,2.714645676266724,0.6039142361727388,0.23218044813519828,train,17
18,2.7114259020562503,0.6202263081505018,0.2584007732288989,train,18
19,2.709417361412383,0.6183061438777792,0.3006953435677928,train,19
20,2.7117049689829784,0.6188703927632687,0.3114717765702823,train,20
21,2.712882180598731,0.6196147858832294,0.34312675625165767,train,21
22,2.71439963465117,0.6087771182002226,0.3636189999799977,train,22
23,2.7095387436910467,0.6152311310487037,0.39647050755733004,train,23
24,2.7166760832317562,0.6171410891673988,0.4364787513314305,train,24
25,2.7092983452305655,0.6214186542027917,0.4587057769491051,train,25
26,2.7131395382412515,0.6094612998016044,0.4838325539785402,train,26
27,2.7153687261742308,0.6107274702859994,0.5330922104189239,train,27
28,2.7119126274009173,0.6076051259678681,0.5419030323508414,train,28
29,2.7167317026525475,0.6213433974505009,0.5960371403916833,train,29
30,2.717274486509738,0.6333934983139458,-0.29833611492045453,train,30
31,2.7127284778346072,0.634351931090661,-0.25748405570332183,train,31
32,2.711048338664839,0.6272028759871955,-0.2189767775983001,train,32
33,2.7184076379547335,0.6303691913636685,-0.2048522438211649,train,33
34,2.7162658482492748,0.6304307551263103,-0.17643519878294228,train,34
35,2.7182078073357783,0.6365502397307812,-0.13315987920347536,train,35
36,2.7117846935029224,0.6421169352014869,-0.11079660789629887,train,36
37,2.7171055224139864,0.6353451060283875,-0.07654496441811719,train,37
38,2.718300908807975,0.6367186183274899,-0.05536534591520313,train,38
39,2.715239761097788,0.6403275663140336,-0.009516853077850171,test,39
40,2.7135127136307173,0.6339538794015509,0.0072688997584354036,train,40
41,2.71078134269622,0.635149146688873,0.054540881634025686,train,41
42,2.7186933552862236,0.6347865594608969,0.06834648885940292,train,42
43,2.7153602939331782,0.6348599387869964,0.09919423255539914,train,43
44,2.718973760269094,0.6412925179031749,0.140279376371464,train,44
45,2.7141911879654828,0.6246538718834452,0.1636082563422031,test,45
46,2.715476445000203,0.641651313333347,0.1938704747398202,train,46
47,2.7179634552455494,0.6323718371047498,0.23251025417104718,train,47
48,2.713759407737123,0.6407860186009082,0.26398011140344596,train,48
49,2.7162556924732715,0.6230821193316451,0.2744752953545781,train,49
50,2.716166209690912,0.6399421330327787,0.3244503463396301,train,50
51,2.7093732826924697,0.6278760409040094,0.3354548653679033,train,51
52,2.7111208013063828,0.6414680860204391,0.3730602425624413,train,52
53,2.716080523955,0.6408811828289572,0.39464998314248756,test,53
54,2.71125885228618,0.6383538874734106,0.4287004292110176,train,54
55,2.7184487221444296,0.6230436711302104,0.4714440290305097,train,55
56,2.712174331348306,0.6269216253615209,0.504149325542637,train,56
57,2.718801474838561,0.6260687740385233,0.5131773081343944,train,57
58,2.714499991797262,0.6339144169296235,0.5502706820345857,train,58
59,2.7096455237415022,0.6223199618731934,0.5931842741624511,train,59
60,2.7113857522239972,0.6481001532901624,-0.2991576609014475,train,60
61,2.7146930612837012,0.6468250499808752,-0.2689270864675878,train,61
62,2.710582643516484,0.6584540008963049,-0.23906796221535268,train,62
63,2.7143530230302417,0.6465848252557285,-0.18614084876466183,train,63
64,2.713290718844674,0.651710210777674,-0.16877605215240907,train,64
65,2.716769193750947,0.6571315070292955,-0.13933755040965887,test,65
66,2.71819366229803,0.6559030487010797,-0.11505357179001668,train,66
67,2.7173202839056603,0.6532544866833586,-0.0678444996418926,train,67
68,2.7144121914482184,0.654981734067316,-0.04962653395195931,train,68
69,2.715683495554225,0.6500247249488628,-0.02061012888409401,train,69
70,2.718507419522572,0.6435528418482677,0.011768653551544182,train,70
71,2.7102672980467983,0.6485424675959598,0.03668581710158098,train,71
72,2.718829942142015,0.6504207480504615,0.0730608551780781,train,72
73,2.71147835596003,0.6553923160985344,0.09040663609626808,train,73
74,2.710555002228255,0.6570265989166966,0.1472641955347272,train,74
75,2.716710803059126,0.6446172700393112,0.16150433032274708,train,75
76,2.711783406100907,0.6518153091859649,0.18088038446443389,train,76
77,2.716019924492388,0.6600051667679316,0.21738483033909442,train,77
